# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
pgxl;60;1440224124;28743.58;117.98;9922.58;0.05;20257.44;0.00;0.00;0.00;0.00
pgxl;60;1440224184;37499.55;22.11;2421.18;0.00;37258.24;10023.45;17.06;10040.51;100.00
pgxl;60;1440224244;39733.04;17.46;2414.91;0.00;39008.62;11061.79;17.06;11078.85;100.00
pgxl;60;1440224304;36070.80;17.55;1929.38;0.00;38342.40;10273.55;0.00;10273.55;100.00
pgxl;60;1440224364;35781.50;40.48;1864.71;0.00;38656.51;9345.06;17.06;9362.12;100.00
pgxl;60;1440224424;38598.27;84.80;1403.87;0.00;37908.33;9525.50;0.00;9525.18;100.00
pgxl;60;1440224484;39112.48;65.91;1174.74;0.00;37933.84;9889.55;0.00;9889.55;100.00
pgxl;60;1440224544;39837.96;21.25;1120.48;0.00;38187.79;9996.52;17.06;10013.58;100.00
pgxl;60;1440224604;41745.13;63.40;1026.13;0.00;38465.12;10411.50;0.00;10411.50;100.00
pgxl;60;1440224664;45185.53;57.62;990.13;0.00;39264.55;10561.28;0.00;10561.28;100.00
pgxl;60;1440224724;50098.05;61.51;870.25;0.05;40041.16;11198.70;0.00;11198.70;100.00
pgxl;60;1440224784;54371.67;59.40;855.70;0.12;40967.22;12993.02;0.00;12993.02;100.00
pgxl;60;1440224844;59182.07;17.56;954.44;0.00;42340.58;13213.98;0.00;13213.98;100.00
pgxl;60;1440224904;61115.63;16.70;965.67;0.00;42949.19;13971.99;17.06;13989.05;100.00
pgxl;60;1440224964;62286.80;51.42;2765.32;0.00;37596.23;15049.18;51.20;15100.38;100.00
pgxl;60;1440225024;52983.84;39.24;1624.13;0.00;31728.66;13734.41;34.13;13768.54;100.00
pgxl;60;1440225084;62276.07;21.95;837.10;0.00;35067.63;15488.87;0.00;15488.87;100.00
pgxl;60;1440225144;59746.13;15.20;778.22;0.00;31159.88;14794.68;0.00;14794.68;100.00
pgxl;60;1440225204;59744.00;13.57;721.73;0.00;30230.77;14833.33;0.00;14833.33;100.00
pgxl;60;1440225264;63885.73;33.23;900.90;0.05;31341.97;15949.60;0.00;15949.60;100.00
pgxl;60;1440225324;59697.20;66.65;973.98;0.00;29326.67;14814.65;0.00;14814.65;100.00
pgxl;60;1440225384;59750.40;13.22;731.15;0.00;29026.12;14938.98;0.00;14938.98;100.00
pgxl;60;1440225444;59776.27;12.93;732.37;0.00;28869.43;14882.68;0.00;14882.68;100.00
pgxl;60;1440225504;59766.87;12.60;764.02;0.00;29063.32;14876.88;0.00;14876.53;100.00
pgxl;60;1440225564;59694.18;12.10;732.51;0.00;28961.69;14911.41;0.00;14911.41;100.00
pgxl;60;1440225624;59829.60;33.18;792.55;0.00;28924.90;14860.40;0.00;14860.40;100.00
pgxl;60;1440225684;63919.15;15.51;733.03;0.00;30939.19;16018.93;0.00;16018.93;100.00
pgxl;60;1440225744;59769.60;10.62;735.10;0.00;29391.62;14859.37;0.00;14859.37;100.00
pgxl;60;1440225804;59759.07;12.25;734.00;0.00;29476.18;14944.45;20.80;14965.25;100.00
pgxl;60;1440225864;59752.93;11.62;734.42;0.00;29446.43;14889.68;0.00;14889.68;100.00
pgxl;60;1440225924;55671.33;14.47;972.40;0.00;29403.65;11651.55;0.00;11651.55;100.00
pgxl;60;1440225984;10.00;16.32;772.62;0.08;277.02;0.00;0.00;0.00;0.00
pgxl;60;1440226044;4.33;11.60;779.75;0.05;310.33;0.00;0.00;0.00;0.00
pgxl;60;1440226104;1.40;21.60;733.13;0.00;283.97;0.00;0.00;0.00;0.00
pgxl;60;1440226164;0.00;12.15;692.15;0.00;256.35;0.00;0.00;0.00;0.00
pgxl;60;1440226224;0.20;56.20;750.17;0.00;293.98;0.00;0.00;0.00;0.00
pgxl;60;1440226284;0.00;99.37;694.33;0.00;275.70;0.00;0.00;0.00;0.00
pgxl;60;1440226344;0.60;13.13;750.68;0.00;299.17;0.00;0.00;0.00;0.00
pgxl;60;1440226404;0.00;12.27;701.75;0.00;262.13;0.00;0.00;0.00;0.00
pgxl;60;1440226464;0.00;12.25;693.60;0.00;256.68;0.00;0.00;0.00;0.00
pgxl;60;1440226524;0.00;13.33;690.85;0.00;255.73;0.00;0.00;0.00;0.00
pgxl;60;1440226584;0.00;11.93;694.82;0.00;257.37;0.00;0.00;0.00;0.00
pgxl;60;1440226644;0.00;10.82;694.33;0.00;257.17;0.00;0.00;0.00;0.00
