ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
946684800,pg_catalog,pg_database,pg_database_oid_index,9496,9495,9495,10,11188
946684800,pg_catalog,pg_database,pg_database_datname_index,3004,3003,3003,10,4691
946684800,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,6824,4257,3968,27,15174
946684800,pg_catalog,pg_type,pg_type_typname_nsp_index,1320,1269,1250,50,2904
946684800,pg_catalog,pg_type,pg_type_oid_index,21123,21079,21079,10,22418
946684800,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
946684800,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
946684800,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
946684800,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
946684800,pg_toast,pg_toast_2618,pg_toast_2618_index,990,3168,3168,8,1576
946684800,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
946684800,pg_toast,pg_toast_2619,pg_toast_2619_index,1032,25337,25337,80,18806
946684800,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
946684800,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
946684800,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
946684800,pg_toast,pg_toast_3592,pg_toast_3592_index,0,0,0,0,0
946684800,pg_catalog,pg_authid,pg_authid_oid_index,1371,1371,1371,10,2732
946684800,pg_catalog,pg_authid,pg_authid_rolname_index,1306,1306,1306,10,2602
946684800,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
946684800,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
946684800,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,45857,85584,85346,51,94049
946684800,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,79,91,79,17,1025
946684800,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,3204,10146,10146,106,7459
946684800,pg_catalog,pg_proc,pg_proc_oid_index,14336,14336,14336,58,29801
946684800,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,0,0,0,9,728
946684800,pg_catalog,pg_class,pg_class_relname_nsp_index,5492,3436,3398,32,12395
946684800,pg_catalog,pg_class,pg_class_oid_index,76619,122727,104019,12,78205
946684800,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
946684800,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
946684800,pg_catalog,pg_constraint,pg_constraint_oid_index,24,8,8,4,53
946684800,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,4,28
946684800,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,4,28
946684800,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,4,28
946684800,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
946684800,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,11,0,0,2,9
946684800,pg_catalog,pg_index,pg_index_indexrelid_index,7499,7499,7499,12,9073
946684800,pg_catalog,pg_index,pg_index_indrelid_index,3273,6368,6348,8,4444
946684800,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,1588,1700,1700,38,3936
946684800,pg_catalog,pg_operator,pg_operator_oid_index,3839,3280,3280,15,8664
946684800,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
946684800,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
946684800,pg_catalog,pg_opclass,pg_opclass_oid_index,3861,3861,3861,12,5355
946684800,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,1059,45586,45586,8,1706
946684800,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
946684800,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
946684800,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
946684800,pg_catalog,pg_amop,pg_amop_opr_fam_index,2907,7190,7190,27,6771
946684800,pg_catalog,pg_amop,pg_amop_fam_strat_index,4927,4927,4927,13,10700
946684800,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
946684800,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,4693,7304,7304,18,10874
