# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pgxl5;60;1440226796;4006640;26981180;87.07;0;26068736;9527504;30.75;20878732;5255556;85328
pgxl5;60;1440226856;216168;30771652;99.30;0;29593988;9784332;31.57;11607320;18285432;73164
pgxl5;60;1440226916;612248;30375572;98.02;0;29217136;9785648;31.58;10670672;18841260;107880
pgxl5;60;1440226976;220708;30767112;99.29;0;29529504;9875868;31.87;11062540;18851876;12
pgxl5;60;1440227036;221104;30766716;99.29;0;29456708;9972572;32.18;11072956;18865232;20
pgxl5;60;1440227096;225016;30762804;99.27;0;29369448;10069416;32.49;11082852;18865064;2044
pgxl5;60;1440227156;223756;30764064;99.28;0;29291496;10165856;32.81;11139952;18826316;40
pgxl5;60;1440227216;224088;30763732;99.28;0;29211224;10262284;33.12;11194748;18787764;5180
pgxl5;60;1440227276;222428;30765392;99.28;0;29133240;10359668;33.43;11255312;18746692;12
pgxl5;60;1440227336;242084;30745736;99.22;0;29025020;10459620;33.75;11397464;18596604;12
pgxl5;60;1440227396;214180;30773640;99.31;0;28938252;10573088;34.12;12052176;17968496;12
pgxl5;60;1440227456;213708;30774112;99.31;0;28831016;10688420;34.49;11684636;18335872;12
pgxl5;60;1440227516;211352;30776468;99.32;0;28738100;10791164;34.82;11484540;18545880;12
pgxl5;60;1440227576;207992;30779828;99.33;0;28660284;10889276;35.14;11540328;18509916;12
pgxl5;60;1440227636;226048;30761772;99.27;0;28638104;10915308;35.22;11367104;18687656;7100
pgxl5;60;1440227696;224728;30763092;99.27;0;28634916;10981352;35.44;11411716;18688928;20
pgxl5;60;1440227756;213504;30774316;99.31;0;28131820;11502548;37.12;11682940;18444832;185648
pgxl5;60;1440227816;1931580;29056240;93.77;0;28197836;9676380;31.23;10275740;18099120;12
pgxl5;60;1440227876;964616;30023204;96.89;0;29127572;9676244;31.23;11291152;18014084;20
pgxl5;60;1440227936;214788;30773032;99.31;0;29850840;9676168;31.23;11993272;18034920;12
pgxl5;60;1440227996;210148;30777672;99.32;0;29865468;9676380;31.23;11767684;18274512;24
pgxl5;60;1440228056;217824;30769996;99.30;0;29747416;9863216;31.83;12260968;17748316;20
pgxl5;60;1440228116;217984;30769836;99.30;0;29187628;10158496;32.78;10788780;18961956;166724
pgxl5;60;1440228176;221008;30766812;99.29;0;28334076;11028280;35.59;12237552;17525820;648068
pgxl5;60;1440228236;216172;30771648;99.30;0;28337596;11028276;35.59;11931880;17834824;272636
pgxl5;60;1440228296;614132;30373688;98.02;0;27950396;11028288;35.59;11575404;17804228;57572
pgxl5;60;1440228356;2690676;28297144;91.32;0;26601056;10246924;33.07;12630096;14620812;16
pgxl5;60;1440228416;220580;30767240;99.29;0;29059316;10241464;33.05;14316796;15390104;326564
pgxl5;60;1440228476;237132;30750688;99.23;0;29045396;10241572;33.05;11727800;17965312;97356
pgxl5;60;1440228536;226960;30760860;99.27;0;29059036;10241464;33.05;12933948;16773240;72396
pgxl5;60;1440228596;1784120;29203700;94.24;0;27510412;10241464;33.05;16787580;11370956;28
pgxl5;60;1440228656;1735592;29252228;94.40;0;27548500;10250176;33.08;16797664;11407472;17484
pgxl5;60;1440228716;1461692;29526128;95.28;0;27807820;10458976;33.75;22017256;6721580;96664
pgxl5;60;1440228776;2137352;28850468;93.10;0;27640916;10020632;32.34;22509756;5651496;24
pgxl5;60;1440228836;1721220;29266600;94.45;0;28004148;10075120;32.51;23087232;5487272;27172
pgxl5;60;1440228896;227032;30760788;99.27;0;29546572;10021308;32.34;22422832;7647664;16
pgxl5;60;1440228956;225260;30762560;99.27;0;29551632;10021300;32.34;20860004;9215108;268376
pgxl5;60;1440229016;949080;30038740;96.94;0;28825968;10117120;32.65;22607840;6827548;12
pgxl5;60;1440229076;1056716;29931104;96.59;0;28826048;10011380;32.31;22887080;6465700;12
pgxl5;60;1440229136;236576;30751244;99.24;0;29643912;10011284;32.31;21643924;8526704;1931628
pgxl5;60;1440229196;1912540;29075280;93.83;0;27791608;10210824;32.95;21023440;7481676;12
pgxl5;60;1440229256;1240784;29747036;96.00;0;28650124;10011132;32.31;25111452;4065140;12
pgxl5;60;1440229316;940344;30047476;96.97;0;28947964;10011088;32.31;25319944;4154836;156
