ctime,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1440229367.30165,0,0,0,0,0,0,0,0,0,0
1440229367.30165,0,0,0,0,0,0,0,0,0,0
1440229367.30165,0,762,0,428,26308,243102,7444,0,0,0
1440229367.30165,4,6642,3,6130,1078921,1517319,565983,1735535625,320,3004688
1440229427.26364,0,0,0,0,0,0,0,0,0,0
1440229427.26364,0,0,0,0,0,0,0,0,0,0
1440229427.26364,0,764,0,433,26378,244104,7455,0,0,0
1440229427.26364,8,6952,3,6538,1160856,1586306,630346,1735535693,324,3004748
1440229487.25772,0,0,0,0,0,0,0,0,0,0
1440229487.25772,0,0,0,0,0,0,0,0,0,0
1440229487.25772,0,766,0,433,26453,245106,7466,0,0,0
1440229487.25772,7,6970,3,6538,1164475,1591721,631981,1735535694,325,3004748
1440229547.28278,0,0,0,0,0,0,0,0,0,0
1440229547.28278,0,0,0,0,0,0,0,0,0,0
1440229547.28278,0,768,0,433,26528,246108,7477,0,0,0
1440229547.28278,7,6997,3,6538,1169346,1598262,634377,1735535695,326,3004748
1440229607.29398,0,0,0,0,0,0,0,0,0,0
1440229607.29398,0,0,0,0,0,0,0,0,0,0
1440229607.29398,0,770,0,433,26603,247110,7488,0,0,0
1440229607.29398,6,7023,3,6538,1173523,1604281,636251,1735535696,327,3004748
1440229667.29988,0,0,0,0,0,0,0,0,0,0
1440229667.29988,0,0,0,0,0,0,0,0,0,0
1440229667.29988,0,772,0,433,26678,248112,7499,0,0,0
1440229667.29988,6,7046,3,6538,1178208,1610731,638557,1735535697,328,3004748
1440229727.30838,0,0,0,0,0,0,0,0,0,0
1440229727.30838,0,0,0,0,0,0,0,0,0,0
1440229727.30838,0,774,0,433,26753,249114,7510,0,0,0
1440229727.30838,7,7065,3,6538,1181338,1616170,639853,1735535697,328,3004748
1440229787.3193,0,0,0,0,0,0,0,0,0,0
1440229787.3193,0,0,0,0,0,0,0,0,0,0
1440229787.3193,0,776,0,433,26828,250116,7521,0,0,0
1440229787.3193,6,7089,3,6538,1185637,1622283,641822,1735535698,329,3004748
1440229847.33188,0,0,0,0,0,0,0,0,0,0
1440229847.33188,0,0,0,0,0,0,0,0,0,0
1440229847.33188,0,778,0,433,26903,251118,7532,0,0,0
1440229847.33188,6,7106,3,6538,1188742,1627710,643107,1735535698,329,3004748
1440229907.33942,0,0,0,0,0,0,0,0,0,0
1440229907.33942,0,0,0,0,0,0,0,0,0,0
1440229907.33942,0,780,0,433,26978,252120,7543,0,0,0
1440229907.33942,6,7141,3,6538,1194693,1635151,646400,1735535700,331,3004748
1440229967.34411,0,0,0,0,0,0,0,0,0,0
1440229967.34411,0,0,0,0,0,0,0,0,0,0
1440229967.34411,0,782,0,433,27053,253122,7554,0,0,0
1440229967.34411,6,7167,3,6538,1199130,1641361,648465,1735535701,332,3004748
1440230027.37168,0,0,0,0,0,0,0,0,0,0
1440230027.37168,0,0,0,0,0,0,0,0,0,0
1440230027.37168,0,784,0,433,27128,254124,7565,0,0,0
1440230027.37168,9,7200,3,6538,1203764,1647711,650667,1735535702,333,3004748
1440230087.37057,0,0,0,0,0,0,0,0,0,0
1440230087.37057,0,0,0,0,0,0,0,0,0,0
1440230087.37057,0,786,0,433,27203,255126,7576,0,0,0
1440230087.37057,7,7212,3,6538,1206597,1653010,651826,1735535702,333,3004748
1440230147.43105,0,0,0,0,0,0,0,0,0,0
1440230147.43105,0,0,0,0,0,0,0,0,0,0
1440230147.43105,0,788,0,433,27278,256128,7587,0,0,0
1440230147.43105,7,7238,3,6538,1210934,1659220,653891,1735535703,334,3004748
1440230207.43513,0,0,0,0,0,0,0,0,0,0
1440230207.43513,0,0,0,0,0,0,0,0,0,0
1440230207.43513,0,790,0,433,27353,257130,7598,0,0,0
1440230207.43513,7,7286,3,6538,1218498,1668022,658540,1735535706,337,3004748
1440230267.43618,0,0,0,0,0,0,0,0,0,0
1440230267.43618,0,0,0,0,0,0,0,0,0,0
1440230267.43618,0,792,0,433,27428,258132,7609,0,0,0
1440230267.43618,8,7317,3,6538,1223847,1674753,661125,1735535708,339,3004748
1440230327.46849,0,0,0,0,0,0,0,0,0,0
1440230327.46849,0,0,0,0,0,0,0,0,0,0
1440230327.46849,0,794,0,433,27503,259134,7620,0,0,0
1440230327.46849,8,7351,3,6538,1228720,1681572,663434,1735535709,340,3004748
1440230387.48165,0,0,0,0,0,0,0,0,0,0
1440230387.48165,0,0,0,0,0,0,0,0,0,0
1440230387.48165,0,796,0,433,27578,260136,7631,0,0,0
1440230387.48165,7,7399,4,6547,1235150,1688258,666307,1736286415,344,3754892
1440230447.50175,0,0,0,0,0,0,0,0,0,0
1440230447.50175,0,0,0,0,0,0,0,0,0,0
1440230447.50175,0,798,0,433,27653,261138,7642,0,0,0
1440230447.50175,9,7416,4,6547,1238255,1693695,667592,1736286415,344,3754892
1440230507.49476,0,0,0,0,0,0,0,0,0,0
1440230507.49476,0,0,0,0,0,0,0,0,0,0
1440230507.49476,0,800,0,433,27728,262140,7653,0,0,0
1440230507.49476,6,7437,4,6548,1242775,1700128,669863,1736286431,346,3754907
1440230567.51689,0,0,0,0,0,0,0,0,0,0
1440230567.51689,0,0,0,0,0,0,0,0,0,0
1440230567.51689,0,802,0,433,27803,263142,7664,0,0,0
1440230567.51689,7,7465,4,6548,1246977,1706169,671748,1736286432,347,3754907
1440230627.53503,0,0,0,0,0,0,0,0,0,0
1440230627.53503,0,0,0,0,0,0,0,0,0,0
1440230627.53503,0,804,0,433,27878,264144,7675,0,0,0
