ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
946684800,pg_catalog,pg_database,pg_database_oid_index,7732,7731,7731,8,9074
946684800,pg_catalog,pg_database,pg_database_datname_index,2390,2389,2389,8,3728
946684800,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,4725,3022,2876,28,10400
946684800,pg_catalog,pg_type,pg_type_typname_nsp_index,1301,1253,1245,54,2809
946684800,pg_catalog,pg_type,pg_type_oid_index,16137,16104,16104,12,17144
946684800,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
946684800,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
946684800,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
946684800,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
946684800,pg_toast,pg_toast_2618,pg_toast_2618_index,770,2464,2464,9,1223
946684800,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
946684800,pg_toast,pg_toast_2619,pg_toast_2619_index,437,12441,12441,52,7430
946684800,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
946684800,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
946684800,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
946684800,pg_toast,pg_toast_3592,pg_toast_3592_index,0,0,0,0,0
946684800,pg_catalog,pg_authid,pg_authid_oid_index,1073,1073,1073,10,2136
946684800,pg_catalog,pg_authid,pg_authid_rolname_index,1043,1043,1043,10,2076
946684800,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
946684800,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
946684800,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,34501,63455,63370,49,70733
946684800,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,42,47,42,16,651
946684800,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,2761,8157,8157,108,6350
946684800,pg_catalog,pg_proc,pg_proc_oid_index,11326,11326,11326,58,23532
946684800,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,0,0,0,11,532
946684800,pg_catalog,pg_class,pg_class_relname_nsp_index,4302,2744,2740,37,9635
946684800,pg_catalog,pg_class,pg_class_oid_index,59518,105362,88723,10,60757
946684800,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
946684800,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
946684800,pg_catalog,pg_constraint,pg_constraint_oid_index,16,8,8,4,29
946684800,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,2,14
946684800,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,2,14
946684800,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,2,14
946684800,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
946684800,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,11,0,0,2,9
946684800,pg_catalog,pg_index,pg_index_indexrelid_index,5498,5498,5498,10,6720
946684800,pg_catalog,pg_index,pg_index_indrelid_index,2295,4576,4568,10,3150
946684800,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,1402,1458,1458,42,3402
946684800,pg_catalog,pg_operator,pg_operator_oid_index,2725,2454,2454,15,6230
946684800,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
946684800,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
946684800,pg_catalog,pg_opclass,pg_opclass_oid_index,2956,2956,2956,10,4146
946684800,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,732,31438,31438,9,1214
946684800,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
946684800,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
946684800,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
946684800,pg_catalog,pg_amop,pg_amop_opr_fam_index,2273,5501,5501,27,5303
946684800,pg_catalog,pg_amop,pg_amop_fam_strat_index,3588,3588,3588,12,7813
946684800,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
946684800,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,3676,5733,5733,15,8537
946684800,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
946684800,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
946684800,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
