ctime,relname,pid,mode,granted
946684800,orders,25196,RowExclusiveLock,t
946684800,part,25197,RowExclusiveLock,t
946684800,part,25197,ExclusiveLock,t
946684800,pg_index,25199,AccessShareLock,t
946684800,pg_index,25200,AccessShareLock,t
946684800,pg_index_indexrelid_index,25200,AccessShareLock,t
946684800,pg_index_indexrelid_index,25199,AccessShareLock,t
946684800,pg_index_indrelid_index,25199,AccessShareLock,t
946684800,pg_index_indrelid_index,25200,AccessShareLock,t
946684800,pg_locks,25201,AccessShareLock,t
946684800,pg_namespace,25199,AccessShareLock,t
946684800,pg_namespace,25200,AccessShareLock,t
946684800,pg_namespace_nspname_index,25199,AccessShareLock,t
946684800,pg_namespace_nspname_index,25200,AccessShareLock,t
946684800,pg_namespace_oid_index,25200,AccessShareLock,t
946684800,pg_namespace_oid_index,25199,AccessShareLock,t
946684800,pg_stat_all_indexes,25200,AccessShareLock,t
946684800,pg_stat_all_tables,25199,AccessShareLock,t
946684800,pg_statio_all_indexes,25200,AccessShareLock,t
946684800,pg_statio_all_tables,25199,AccessShareLock,t
946684800,customer,25204,RowExclusiveLock,t
946684800,customer,25214,RowExclusiveLock,t
946684800,customer,25205,RowExclusiveLock,t
946684800,lineitem,25211,RowExclusiveLock,t
946684800,lineitem,25207,RowExclusiveLock,t
946684800,lineitem,25208,RowExclusiveLock,t
946684800,lineitem,25209,RowExclusiveLock,t
946684800,lineitem,25210,RowExclusiveLock,t
946684800,orders,25196,RowExclusiveLock,t
946684800,orders,25217,RowExclusiveLock,t
946684800,part,25216,RowExclusiveLock,t
946684800,partsupp,25203,RowExclusiveLock,t
946684800,partsupp,25197,RowExclusiveLock,t
946684800,partsupp,25206,RowExclusiveLock,t
946684800,partsupp,25219,RowExclusiveLock,t
946684800,pg_locks,25226,AccessShareLock,t
946684800,pg_namespace,25222,AccessShareLock,t
946684800,pg_namespace_nspname_index,25222,AccessShareLock,t
946684800,supplier,25215,RowExclusiveLock,t
946684800,customer,25204,RowExclusiveLock,t
946684800,customer,25220,RowExclusiveLock,t
946684800,customer,25214,RowExclusiveLock,t
946684800,customer,25205,RowExclusiveLock,t
946684800,lineitem,25233,RowExclusiveLock,t
946684800,lineitem,25207,RowExclusiveLock,t
946684800,lineitem,25208,RowExclusiveLock,t
946684800,lineitem,25209,RowExclusiveLock,t
946684800,lineitem,25210,RowExclusiveLock,t
946684800,lineitem,25211,RowExclusiveLock,t
946684800,orders,25215,RowExclusiveLock,t
946684800,orders,25217,RowExclusiveLock,t
946684800,orders,25237,RowExclusiveLock,t
946684800,orders,25234,RowExclusiveLock,t
946684800,orders,25196,RowExclusiveLock,t
946684800,part,25229,RowExclusiveLock,t
946684800,partsupp,25232,RowExclusiveLock,t
946684800,partsupp,25197,RowExclusiveLock,t
946684800,partsupp,25219,RowExclusiveLock,t
946684800,partsupp,25230,RowExclusiveLock,t
946684800,partsupp,25238,RowExclusiveLock,t
946684800,partsupp,25206,RowExclusiveLock,t
946684800,partsupp,25203,RowExclusiveLock,t
946684800,pg_locks,25243,AccessShareLock,t
946684800,supplier,25228,RowExclusiveLock,t
946684800,supplier,25235,RowExclusiveLock,t
946684800,customer,25214,RowExclusiveLock,t
946684800,customer,25205,RowExclusiveLock,t
946684800,customer,25204,RowExclusiveLock,t
946684800,customer,25253,RowExclusiveLock,t
946684800,customer,25220,RowExclusiveLock,t
946684800,customer,25216,RowExclusiveLock,t
946684800,lineitem,25210,RowExclusiveLock,t
946684800,lineitem,25233,RowExclusiveLock,t
946684800,lineitem,25211,RowExclusiveLock,t
946684800,lineitem,25207,RowExclusiveLock,t
946684800,lineitem,25208,RowExclusiveLock,t
946684800,lineitem,25209,RowExclusiveLock,t
946684800,orders,25215,RowExclusiveLock,t
946684800,orders,25217,RowExclusiveLock,t
