# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
pgxl;60;1440224124;-10760.37;0.00;8227.91
pgxl;60;1440224184;-903.92;0.00;-674.75
pgxl;60;1440224244;10.95;0.00;-1185.05
pgxl;60;1440224304;24.43;0.00;-1256.25
pgxl;60;1440224364;0.93;0.00;-442.31
pgxl;60;1440224424;-63.10;0.00;118.17
pgxl;60;1440224484;27.38;0.00;-105.97
pgxl;60;1440224544;8.90;0.00;-53.74
pgxl;60;1440224604;-8.92;0.00;39.02
pgxl;60;1440224664;20.72;0.00;741.47
pgxl;60;1440224724;-15.16;0.00;1326.70
pgxl;60;1440224784;45.07;0.00;156.02
pgxl;60;1440224844;-68.17;0.00;624.31
pgxl;60;1440224904;70.79;0.00;1048.61
pgxl;60;1440224964;11.95;0.00;408.40
pgxl;60;1440225024;-72.97;0.00;-605.92
pgxl;60;1440225084;72.32;0.00;27.50
pgxl;60;1440225144;-30.00;0.00;40.27
pgxl;60;1440225204;-53.17;0.00;60.67
pgxl;60;1440225264;61.80;0.00;-55.80
pgxl;60;1440225324;-61.00;0.00;75.15
pgxl;60;1440225384;38.73;0.00;-37.88
pgxl;60;1440225444;35.33;0.00;-34.25
pgxl;60;1440225504;-34.70;0.00;41.33
pgxl;60;1440225564;15.86;0.00;-10.71
pgxl;60;1440225624;-66.12;0.00;66.58
pgxl;60;1440225684;72.10;0.00;-69.62
pgxl;60;1440225744;-50.28;0.00;53.65
pgxl;60;1440225804;50.83;0.00;-50.48
pgxl;60;1440225864;-15.55;0.00;19.65
pgxl;60;1440225924;706.23;0.00;2268.12
pgxl;60;1440225984;-11.80;0.00;4.28
pgxl;60;1440226044;-5.37;0.00;1.87
pgxl;60;1440226104;14.65;0.00;2.12
pgxl;60;1440226164;-1.05;0.00;0.97
pgxl;60;1440226224;14.45;0.00;1.00
pgxl;60;1440226284;10.38;0.00;1.08
pgxl;60;1440226344;16.92;0.00;1.12
pgxl;60;1440226404;-0.40;0.00;1.17
pgxl;60;1440226464;-5.38;0.00;1.07
pgxl;60;1440226524;-0.42;0.00;1.05
pgxl;60;1440226584;0.93;0.00;0.95
pgxl;60;1440226644;-0.88;0.00;1.02
