# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pgxl;60;1440224124;432192;30555628;98.61;0;28905544;10402664;33.57;14287264;15221876;68
pgxl;60;1440224184;215216;30772604;99.31;0;28743576;10927208;35.26;14908568;14776068;40
pgxl;60;1440224244;217844;30769976;99.30;0;28459116;11274096;36.38;15312648;14337488;80
pgxl;60;1440224304;223708;30764112;99.28;0;28157616;11661244;37.63;15453684;14168892;40
pgxl;60;1440224364;223932;30763888;99.28;0;28051444;11712944;37.80;15481092;14146360;628
pgxl;60;1440224424;208788;30779032;99.33;0;28079804;11746080;37.91;15527256;14124956;60
pgxl;60;1440224484;215360;30772460;99.31;0;28054368;11727972;37.85;15531640;14111320;48
pgxl;60;1440224544;217496;30770324;99.30;0;28041468;11725552;37.84;15539372;14104940;40
pgxl;60;1440224604;215356;30772464;99.31;0;28050832;11805864;38.10;15564908;14118016;40
pgxl;60;1440224664;220328;30767492;99.29;0;28228784;11493656;37.09;15389788;14296944;44
pgxl;60;1440224724;216688;30771132;99.30;0;28547244;11038364;35.62;15108304;14612108;832
pgxl;60;1440224784;227504;30760316;99.27;0;28584688;11019416;35.56;14974840;14755824;36
pgxl;60;1440224844;211140;30776680;99.32;0;28734548;10836360;34.97;14613056;15135460;48
pgxl;60;1440224904;228132;30759688;99.26;0;28986256;10444512;33.71;14318104;15445304;48
pgxl;60;1440224964;231000;30756820;99.25;0;29084272;10196252;32.90;14200072;15560820;44
pgxl;60;1440225024;213484;30774336;99.31;0;28938828;10373180;33.48;14346516;15434064;72
pgxl;60;1440225084;230840;30756980;99.26;0;28945428;10399524;33.56;14348124;15453400;76
pgxl;60;1440225144;223640;30764180;99.28;0;28955092;10391264;33.53;14323492;15487152;44
pgxl;60;1440225204;210880;30776940;99.32;0;28969652;10391260;33.53;14313556;15511816;40
pgxl;60;1440225264;225712;30762108;99.27;0;28956260;10387900;33.52;14293068;15517772;40
pgxl;60;1440225324;211072;30776748;99.32;0;28974296;10376340;33.49;14282260;15545064;40
pgxl;60;1440225384;220368;30767452;99.29;0;28965204;10376336;33.49;14273248;15544708;40
pgxl;60;1440225444;228848;30758972;99.26;0;28956984;10376340;33.49;14251076;15559484;44
pgxl;60;1440225504;220520;30767300;99.29;0;28966904;10376336;33.49;14245108;15575204;52
pgxl;60;1440225564;224328;30763492;99.28;0;28964332;10376340;33.49;14239684;15577516;44
pgxl;60;1440225624;208460;30779360;99.33;0;28980312;10376336;33.49;14232584;15601100;64
pgxl;60;1440225684;225768;30762052;99.27;0;28963600;10376468;33.49;14225264;15591792;44
pgxl;60;1440225744;213700;30774120;99.31;0;28976476;10376460;33.49;14218736;15611696;40
pgxl;60;1440225804;225900;30761920;99.27;0;28964360;10376468;33.49;14212620;15605784;40
pgxl;60;1440225864;222168;30765652;99.28;0;28969076;10376468;33.49;14205664;15616996;40
pgxl;60;1440225924;391664;30596156;98.74;0;29513424;9379916;30.27;13492484;16161756;44
pgxl;60;1440225984;388832;30598988;98.75;0;29514452;9412696;30.38;13493152;16162620;112
pgxl;60;1440226044;387544;30600276;98.75;0;29514900;9412704;30.38;13494444;16162584;180
pgxl;60;1440226104;391060;30596760;98.74;0;29515408;9394712;30.32;13491988;16162892;40
pgxl;60;1440226164;390808;30597012;98.74;0;29515640;9394712;30.32;13492340;16162828;40
pgxl;60;1440226224;394276;30593544;98.73;0;29515880;9372452;30.25;13489720;16162800;940
pgxl;60;1440226284;396768;30591052;98.72;0;29516140;9350188;30.17;13487188;16162760;44
pgxl;60;1440226344;400828;30586992;98.71;0;29516408;9319840;30.08;13484524;16162732;48
pgxl;60;1440226404;400732;30587088;98.71;0;29516688;9327924;30.10;13484828;16162788;44
pgxl;60;1440226464;399440;30588380;98.71;0;29516944;9327908;30.10;13485116;16162824;36
pgxl;60;1440226524;399340;30588480;98.71;0;29517196;9327904;30.10;13485424;16162832;36
pgxl;60;1440226584;399564;30588256;98.71;0;29517424;9327908;30.10;13485736;16162816;40
pgxl;60;1440226644;399352;30588468;98.71;0;29517668;9327920;30.10;13486000;16162856;36
