# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
pgxl2;60;1440224124;70100.67;0.00;-69745.22
pgxl2;60;1440224184;-4441.27;0.00;3809.68
pgxl2;60;1440224244;-4259.32;0.00;3654.02
pgxl2;60;1440224304;-3060.83;0.00;3790.73
pgxl2;60;1440224364;-4789.75;0.00;3394.63
pgxl2;60;1440224424;-3033.00;0.00;3066.18
pgxl2;60;1440224484;-6712.73;0.00;6028.42
pgxl2;60;1440224544;-7197.77;0.00;3381.97
pgxl2;60;1440224604;1975.17;0.00;2946.78
pgxl2;60;1440224664;-3437.30;0.00;2891.48
pgxl2;60;1440224724;-4143.77;0.00;2903.35
pgxl2;60;1440224784;-4111.13;0.00;2878.18
pgxl2;60;1440224844;-13642.28;0.00;11199.25
pgxl2;60;1440224904;-462.16;0.00;3046.18
pgxl2;60;1440224964;-14780.72;0.00;3525.00
pgxl2;60;1440225024;6190.38;0.00;6991.33
pgxl2;60;1440225084;-10269.02;0.00;6983.20
pgxl2;60;1440225144;-8888.70;0.00;3343.78
pgxl2;60;1440225204;2240.93;0.00;2033.20
pgxl2;60;1440225264;-3074.62;0.00;2222.67
pgxl2;60;1440225324;3141.38;0.00;2106.95
pgxl2;60;1440225384;-2026.93;0.00;2028.93
pgxl2;60;1440225444;-2140.47;0.00;2095.68
pgxl2;60;1440225504;-2051.45;0.00;2031.82
pgxl2;60;1440225564;-3123.00;0.00;2090.18
pgxl2;60;1440225624;-4516.08;0.00;2030.50
pgxl2;60;1440225684;-2270.60;0.00;2221.58
pgxl2;60;1440225744;-2123.17;0.00;2066.50
pgxl2;60;1440225804;-2107.20;0.00;2059.75
pgxl2;60;1440225864;-2066.88;0.00;2098.52
pgxl2;60;1440225924;-2701.47;0.00;1910.68
pgxl2;60;1440225984;-12917.97;0.00;1.63
pgxl2;60;1440226044;4029.75;0.00;-3698.25
pgxl2;60;1440226104;-5399.65;0.00;-19223.37
pgxl2;60;1440226164;1954.26;0.00;-51645.74
pgxl2;60;1440226224;-1970.25;0.00;16514.57
pgxl2;60;1440226284;30047.08;0.00;8814.82
pgxl2;60;1440226344;34770.65;0.00;4265.67
pgxl2;60;1440226404;-11131.85;0.00;10814.07
pgxl2;60;1440226464;-13907.18;0.00;13564.13
pgxl2;60;1440226524;-8920.80;0.00;8626.55
pgxl2;60;1440226584;-13035.15;0.00;13034.47
pgxl2;60;1440226644;-4584.12;0.00;155.77
