# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl4;60;1440224124;eth0;942.92;616.50;7959.04;41.41;0.00;0.00;0.00
pgxl4;60;1440224124;lo;14.87;14.87;3.26;3.26;0.00;0.00;0.00
pgxl4;60;1440224184;eth0;1243.85;820.95;10713.64;55.19;0.00;0.00;0.00
pgxl4;60;1440224184;lo;13.53;13.53;2.55;2.55;0.00;0.00;0.00
pgxl4;60;1440224244;eth0;1260.33;900.43;10831.33;60.88;0.00;0.00;0.00
pgxl4;60;1440224244;lo;13.98;13.98;2.68;2.68;0.00;0.00;0.00
pgxl4;60;1440224304;eth0;1220.77;910.58;10567.65;61.95;0.00;0.00;0.00
pgxl4;60;1440224304;lo;13.98;13.98;2.62;2.62;0.00;0.00;0.00
pgxl4;60;1440224364;eth0;1249.62;971.13;10755.77;113.92;0.00;0.00;0.00
pgxl4;60;1440224364;lo;12.77;12.77;2.59;2.59;0.00;0.00;0.00
pgxl4;60;1440224424;eth0;1241.08;914.38;10706.92;81.12;0.00;0.00;0.00
pgxl4;60;1440224424;lo;15.17;15.17;2.59;2.59;0.00;0.00;0.00
pgxl4;60;1440224484;eth0;1257.27;920.00;10844.20;90.42;0.00;0.00;0.00
pgxl4;60;1440224484;lo;9.25;9.25;1.93;1.93;0.00;0.00;0.00
pgxl4;60;1440224544;eth0;1239.02;917.33;10683.85;63.25;0.00;0.00;0.00
pgxl4;60;1440224544;lo;7.47;7.47;1.61;1.61;0.00;0.00;0.00
pgxl4;60;1440224604;eth0;1203.12;851.72;10376.17;124.71;0.00;0.00;0.00
pgxl4;60;1440224604;lo;6.47;6.47;1.53;1.53;0.00;0.00;0.00
pgxl4;60;1440224664;eth0;1205.72;856.35;10383.04;86.06;0.00;0.00;0.00
pgxl4;60;1440224664;lo;5.38;5.38;1.19;1.19;0.00;0.00;0.00
pgxl4;60;1440224724;eth0;1256.35;828.13;10871.18;56.26;0.00;0.00;0.00
pgxl4;60;1440224724;lo;14.35;14.35;2.53;2.53;0.00;0.00;0.00
pgxl4;60;1440224784;eth0;1229.28;812.35;10578.78;54.91;0.00;0.00;0.00
pgxl4;60;1440224784;lo;11.78;11.78;2.05;2.05;0.00;0.00;0.00
pgxl4;60;1440224844;eth0;1238.28;885.02;10514.59;59.43;0.00;0.00;0.00
pgxl4;60;1440224844;lo;6.98;6.98;1.51;1.51;0.00;0.00;0.00
pgxl4;60;1440224904;eth0;1243.47;872.87;10600.92;59.44;0.00;0.00;0.00
pgxl4;60;1440224904;lo;6.22;6.22;1.47;1.47;0.00;0.00;0.00
pgxl4;60;1440224964;eth0;880.58;718.00;7164.13;104.26;0.00;0.00;0.00
pgxl4;60;1440224964;lo;7.05;7.05;1.58;1.58;0.00;0.00;0.00
pgxl4;60;1440225024;eth0;1022.52;481.42;8652.81;31.62;0.00;0.00;0.00
pgxl4;60;1440225024;lo;14.07;14.07;2.62;2.62;0.00;0.00;0.00
pgxl4;60;1440225084;eth0;1008.23;736.78;8165.81;48.12;0.00;0.00;0.00
pgxl4;60;1440225084;lo;14.73;14.73;2.50;2.50;0.00;0.00;0.00
pgxl4;60;1440225144;eth0;976.28;878.75;7819.44;57.40;0.00;0.00;0.00
pgxl4;60;1440225144;lo;11.08;11.08;1.92;1.92;0.00;0.00;0.00
pgxl4;60;1440225204;eth0;979.98;948.07;7809.89;61.68;0.00;0.00;0.00
