ctime,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,429,0,494,19754,198215,5360,0,0,0
946684800,5,8253,12,107164161,188882486,4540012454,521815429,244783794,202,286666
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,431,0,499,19824,199217,5371,0,0,0
946684800,5,8270,12,107164283,188885013,4540017918,521816705,244783794,202,286666
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,433,0,499,19899,200219,5382,0,0,0
946684800,14,8358,12,107872347,190693794,4543490490,522785525,244877194,202,286666
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,435,0,499,19974,201221,5393,0,0,0
946684800,21,8429,12,108167346,193547440,4549412446,527384926,244877196,203,286666
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,437,0,499,20049,202223,5404,0,0,0
946684800,20,8445,12,108167346,193550395,4549418479,527386406,244877196,203,286666
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,439,0,499,20124,203225,5415,0,0,0
946684800,19,8459,12,108167346,193552744,4549423380,527387486,244877196,203,286666
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,441,0,499,20199,204227,5426,0,0,0
946684800,21,8483,12,108167346,193555791,4549429461,527389010,244877196,203,286666
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,443,0,499,20274,205229,5437,0,0,0
946684800,18,8494,12,108167346,193558397,4549434904,527390268,244877196,203,286666
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,445,0,499,20349,206231,5448,0,0,0
946684800,21,8517,12,108167346,193561038,4549439957,527391496,244877196,203,286666
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,447,0,499,20424,207233,5459,0,0,0
946684800,20,8532,12,108167346,193563690,4549445424,527392776,244877196,203,286666
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,449,0,499,20499,208235,5470,0,0,0
946684800,19,8547,12,108167346,193566445,4549451353,527394152,244877196,203,286666
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,451,0,499,20574,209237,5481,0,0,0
946684800,19,8561,12,108167346,193568794,4549456254,527395232,244877196,203,286666
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,453,0,499,20649,210239,5492,0,0,0
946684800,19,8578,12,108167346,193571469,4549461733,527396523,244877196,203,286666
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,455,0,499,20724,211241,5503,0,0,0
946684800,18,8595,12,108167346,193574144,4549467212,527397814,244877196,203,286666
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,457,0,499,20799,212243,5514,0,0,0
946684800,20,8617,12,108167346,193577168,4549473281,527399327,244877196,203,286666
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,459,0,499,20874,213245,5525,0,0,0
946684800,20,8637,12,108167346,193580066,4549478876,527400733,244877196,203,286666
946684800,0,0,0,0,0,0,0,0,0,0
