ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,8701,10,psql,10.93.131.148,35866,2015-08-22 02:58:57.326212-04,,2015-08-22 02:58:57.363156-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 02:58:57.363158-04
946684800,8703,10,psql,10.93.131.148,35872,2015-08-22 02:58:57.329465-04,,2015-08-22 02:58:57.362849-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 02:58:57.362851-04
946684800,8702,10,psql,10.93.131.148,35867,2015-08-22 02:58:57.326327-04,,2015-08-22 02:58:57.362557-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 02:58:57.36256-04
946684800,8704,10,psql,10.93.131.148,35881,2015-08-22 02:58:57.335016-04,,2015-08-22 02:58:57.368029-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 02:58:57.368032-04
946684800,8705,10,psql,10.93.131.148,35893,2015-08-22 02:58:57.341728-04,,2015-08-22 02:58:57.364323-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 02:58:57.364326-04
946684800,8722,10,pgxc,10.93.131.148,35915,2015-08-22 02:59:04.951282-04,2015-08-22 02:59:04.930893-04,2015-08-22 02:59:49.181568-04,f,COPY public.orders FROM STDIN DELIMITER AS '|',idle in transaction,2015-08-22 02:59:53.856733-04
946684800,8727,10,psql,10.93.131.148,35944,2015-08-22 02:59:57.335153-04,,2015-08-22 02:59:57.355038-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV);",active,2015-08-22 02:59:57.35504-04
946684800,8728,10,psql,10.93.131.148,35952,2015-08-22 02:59:57.338555-04,,2015-08-22 02:59:57.354326-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV);",active,2015-08-22 02:59:57.35433-04
946684800,8726,10,psql,10.93.131.148,35937,2015-08-22 02:59:57.331526-04,,2015-08-22 02:59:57.354217-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV);",active,2015-08-22 02:59:57.35422-04
946684800,8729,10,psql,10.93.131.148,35953,2015-08-22 02:59:57.33966-04,,2015-08-22 02:59:57.354887-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV);",active,2015-08-22 02:59:57.354889-04
946684800,8730,10,psql,10.93.131.148,35962,2015-08-22 02:59:57.344212-04,,2015-08-22 02:59:57.355303-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV);",active,2015-08-22 02:59:57.355305-04
946684800,8722,10,pgxc,10.93.131.148,35915,2015-08-22 02:59:04.951282-04,2015-08-22 03:00:23.601824-04,2015-08-22 03:00:23.64085-04,f,Remote Subplan,active,2015-08-22 03:00:23.660406-04
946684800,8731,10,pgxc,10.87.3.206,50047,2015-08-22 02:59:58.666493-04,2015-08-22 03:00:23.601824-04,2015-08-22 03:00:23.60243-04,f,Remote Subplan,active,2015-08-22 03:00:23.633617-04
946684800,8732,10,pgxc,10.87.8.227,52156,2015-08-22 02:59:58.666676-04,2015-08-22 03:00:23.601824-04,2015-08-22 03:00:23.602579-04,f,Remote Subplan,active,2015-08-22 03:00:23.631187-04
946684800,8733,10,pgxc,10.92.9.245,44473,2015-08-22 02:59:58.666833-04,2015-08-22 03:00:23.601824-04,2015-08-22 03:00:23.602917-04,f,Remote Subplan,active,2015-08-22 03:00:23.63233-04
946684800,8734,10,pgxc,10.87.3.232,46537,2015-08-22 02:59:58.667008-04,2015-08-22 03:00:23.601824-04,2015-08-22 03:00:23.602567-04,f,Remote Subplan,active,2015-08-22 03:00:23.632722-04
946684800,8735,10,pgxc,10.95.141.120,37975,2015-08-22 02:59:58.671317-04,2015-08-22 03:00:23.601824-04,2015-08-22 03:00:23.601943-04,f,Remote Subplan,active,2015-08-22 03:00:23.658457-04
946684800,8736,10,pgxc,10.223.4.4,38418,2015-08-22 02:59:58.671416-04,2015-08-22 03:00:23.601824-04,2015-08-22 03:00:23.60238-04,f,Remote Subplan,active,2015-08-22 03:00:23.638377-04
946684800,8737,10,pgxc,10.87.3.185,43013,2015-08-22 02:59:58.672036-04,2015-08-22 03:00:23.601824-04,2015-08-22 03:00:23.602375-04,f,Remote Subplan,active,2015-08-22 03:00:23.633557-04
