# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl7;60;1440226796;eth0;22.67;13.28;180.59;1.35;0.00;0.00;0.00
pgxl7;60;1440226796;lo;9.82;9.82;1.74;1.74;0.00;0.00;0.00
pgxl7;60;1440226856;eth0;138.10;132.37;558.73;543.54;0.00;0.00;0.00
pgxl7;60;1440226856;lo;41.62;41.62;80.22;80.22;0.00;0.00;0.00
pgxl7;60;1440226916;eth0;2193.03;2197.50;2030.26;2070.78;0.00;0.00;0.00
pgxl7;60;1440226916;lo;342.88;342.88;306.53;306.53;0.00;0.00;0.00
pgxl7;60;1440226976;eth0;963.60;976.72;5606.11;5648.27;0.00;0.00;0.00
pgxl7;60;1440226976;lo;153.48;153.48;826.51;826.51;0.00;0.00;0.00
pgxl7;60;1440227036;eth0;1001.48;1001.38;5973.27;6028.08;0.00;0.00;0.00
pgxl7;60;1440227036;lo;182.05;182.05;923.14;923.14;0.00;0.00;0.00
pgxl7;60;1440227096;eth0;993.70;1037.82;6028.70;6016.30;0.00;0.00;0.00
pgxl7;60;1440227096;lo;151.00;151.00;877.10;877.10;0.00;0.00;0.00
pgxl7;60;1440227156;eth0;986.82;1015.88;6005.51;5994.95;0.00;0.00;0.00
pgxl7;60;1440227156;lo;154.08;154.08;864.51;864.51;0.00;0.00;0.00
pgxl7;60;1440227216;eth0;984.38;1011.47;6005.71;5999.16;0.00;0.00;0.00
pgxl7;60;1440227216;lo;146.27;146.27;851.26;851.26;0.00;0.00;0.00
pgxl7;60;1440227276;eth0;973.87;1008.80;6027.77;6040.60;0.00;0.00;0.00
pgxl7;60;1440227276;lo;142.00;142.00;859.87;859.87;0.00;0.00;0.00
pgxl7;60;1440227336;eth0;1068.68;1087.73;6294.99;6285.90;0.00;0.00;0.00
pgxl7;60;1440227336;lo;146.53;146.53;890.90;890.90;0.00;0.00;0.00
pgxl7;60;1440227396;eth0;1152.47;1199.75;7056.35;7062.28;0.00;0.00;0.00
pgxl7;60;1440227396;lo;161.95;161.95;1004.37;1004.37;0.00;0.00;0.00
pgxl7;60;1440227456;eth0;1084.00;1152.93;6715.29;6640.96;0.00;0.00;0.00
pgxl7;60;1440227456;lo;155.67;155.67;950.25;950.25;0.00;0.00;0.00
pgxl7;60;1440227516;eth0;1081.10;1082.43;6389.35;6444.35;0.00;0.00;0.00
pgxl7;60;1440227516;lo;146.47;146.47;908.20;908.20;0.00;0.00;0.00
pgxl7;60;1440227576;eth0;1024.55;1058.20;6121.36;6118.32;0.00;0.00;0.00
pgxl7;60;1440227576;lo;143.82;143.82;874.89;874.89;0.00;0.00;0.00
pgxl7;60;1440227636;eth0;260.55;269.60;1498.28;1496.71;0.00;0.00;0.00
pgxl7;60;1440227636;lo;43.22;43.22;216.78;216.78;0.00;0.00;0.00
pgxl7;60;1440227696;eth0;92.55;96.10;332.59;335.78;0.00;0.00;0.00
pgxl7;60;1440227696;lo;21.58;21.58;49.62;49.62;0.00;0.00;0.00
pgxl7;60;1440227756;eth0;720.70;686.72;3136.88;3166.10;0.00;0.00;0.00
pgxl7;60;1440227756;lo;106.75;106.75;453.99;453.99;0.00;0.00;0.00
pgxl7;60;1440227816;eth0;4641.50;4642.23;556.02;618.67;0.00;0.00;0.00
pgxl7;60;1440227816;lo;670.67;670.67;80.89;80.89;0.00;0.00;0.00
pgxl7;60;1440227876;eth0;6674.92;6673.58;789.10;884.32;0.00;0.00;0.00
pgxl7;60;1440227876;lo;970.93;970.93;115.60;115.60;0.00;0.00;0.00
pgxl7;60;1440227936;eth0;6881.15;6879.92;813.05;914.45;0.00;0.00;0.00
pgxl7;60;1440227936;lo;1009.30;1009.30;120.33;120.33;0.00;0.00;0.00
pgxl7;60;1440227996;eth0;6744.23;6743.45;800.77;891.05;0.00;0.00;0.00
pgxl7;60;1440227996;lo;965.30;965.30;115.01;115.01;0.00;0.00;0.00
pgxl7;60;1440228056;eth0;3248.17;3249.97;4155.62;4188.15;0.00;0.00;0.00
pgxl7;60;1440228056;lo;405.83;405.83;591.47;591.47;0.00;0.00;0.00
pgxl7;60;1440228116;eth0;14424.57;14427.68;21259.88;21466.61;0.00;0.00;0.00
pgxl7;60;1440228116;lo;1793.03;1793.03;3028.87;3028.87;0.00;0.00;0.00
pgxl7;60;1440228176;eth0;1.52;1.40;0.13;0.77;0.00;0.00;0.00
pgxl7;60;1440228176;lo;3.80;3.80;0.92;0.92;0.00;0.00;0.00
pgxl7;60;1440228236;eth0;1.62;1.43;0.14;0.78;0.00;0.00;0.00
pgxl7;60;1440228236;lo;3.82;3.82;0.92;0.92;0.00;0.00;0.00
pgxl7;60;1440228296;eth0;1.52;1.30;0.13;0.77;0.00;0.00;0.00
pgxl7;60;1440228296;lo;4.32;4.32;0.96;0.96;0.00;0.00;0.00
pgxl7;60;1440228356;eth0;967.20;972.47;207.94;228.69;0.00;0.00;0.00
pgxl7;60;1440228356;lo;143.23;143.23;30.58;30.58;0.00;0.00;0.00
