ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,7044,10,psql,10.93.131.148,59758,2015-08-22 03:42:47.234368-04,,2015-08-22 03:42:47.260764-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 03:42:47.260767-04
946684800,7046,10,psql,10.93.131.148,59761,2015-08-22 03:42:47.236415-04,,2015-08-22 03:42:47.260081-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 03:42:47.260085-04
946684800,7045,10,psql,10.93.131.148,59760,2015-08-22 03:42:47.23605-04,,2015-08-22 03:42:47.26126-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 03:42:47.261261-04
946684800,7043,10,psql,10.93.131.148,59755,2015-08-22 03:42:47.230717-04,,2015-08-22 03:42:47.261543-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 03:42:47.261547-04
946684800,7047,10,psql,10.93.131.148,59780,2015-08-22 03:42:47.258644-04,,2015-08-22 03:42:47.267995-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 03:42:47.267998-04
946684800,7064,10,pgxc,10.93.131.148,59891,2015-08-22 03:42:54.802092-04,2015-08-22 03:42:54.766765-04,2015-08-22 03:42:54.771559-04,f,Remote Subplan,active,2015-08-22 03:42:54.821195-04
946684800,7065,10,pgxc,10.93.131.148,59904,2015-08-22 03:42:55.00385-04,2015-08-22 03:42:54.979342-04,2015-08-22 03:42:54.982227-04,f,Remote Subplan,active,2015-08-22 03:42:55.049017-04
946684800,7066,10,pgxc,10.93.131.148,59917,2015-08-22 03:42:55.187974-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:42:55.25044-04,f,Remote Subplan,active,2015-08-22 03:42:55.321405-04
946684800,7067,10,pgxc,10.92.9.245,47863,2015-08-22 03:42:55.241362-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:39.493911-04,f,Remote Subplan,active,2015-08-22 03:43:39.660741-04
946684800,7068,10,pgxc,10.95.141.120,47391,2015-08-22 03:42:55.242546-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:36.976482-04,f,Remote Subplan,active,2015-08-22 03:43:38.154788-04
946684800,7069,10,pgxc,10.94.132.84,44878,2015-08-22 03:42:55.244053-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:39.964516-04,f,Remote Subplan,active,2015-08-22 03:43:40.136685-04
946684800,7070,10,pgxc,10.87.3.232,59304,2015-08-22 03:42:55.248032-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:38.527036-04,f,Remote Subplan,active,2015-08-22 03:43:38.694855-04
946684800,7071,10,pgxc,10.223.4.4,60137,2015-08-22 03:42:55.248491-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:46.096753-04,f,Remote Subplan,active,2015-08-22 03:43:46.262994-04
946684800,7072,10,pgxc,10.93.131.148,59923,2015-08-22 03:42:55.248669-04,2015-08-22 03:42:54.838978-04,2015-08-22 03:42:54.850135-04,f,Remote Subplan,active,2015-08-22 03:42:55.328131-04
946684800,7073,10,pgxc,10.87.3.185,33927,2015-08-22 03:42:55.250156-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:46.139703-04,f,Remote Subplan,active,2015-08-22 03:43:46.312137-04
946684800,7074,10,pgxc,10.87.8.227,43320,2015-08-22 03:42:55.255681-04,2015-08-22 03:42:55.14715-04,2015-08-22 03:43:32.787513-04,f,Remote Subplan,active,2015-08-22 03:43:32.955698-04
