# hostname;interval;timestamp;pswpin/s;pswpout/s
pgxl1;60;1440229426;0.00;0.00
pgxl1;60;1440229486;0.00;0.00
pgxl1;60;1440229546;0.00;0.00
pgxl1;60;1440229606;0.00;0.00
pgxl1;60;1440229666;0.00;0.00
pgxl1;60;1440229726;0.00;0.00
pgxl1;60;1440229786;0.00;0.00
pgxl1;60;1440229846;0.00;0.00
pgxl1;60;1440229906;0.00;0.00
pgxl1;60;1440229966;0.00;0.00
pgxl1;60;1440230026;0.00;0.00
pgxl1;60;1440230086;0.00;0.00
pgxl1;60;1440230146;0.00;0.00
pgxl1;60;1440230206;0.00;0.00
pgxl1;60;1440230266;0.00;0.00
pgxl1;60;1440230326;0.00;0.00
pgxl1;60;1440230386;0.00;0.00
pgxl1;60;1440230446;0.00;0.00
pgxl1;60;1440230506;0.00;0.00
pgxl1;60;1440230566;0.00;0.00
pgxl1;60;1440230626;0.00;0.00
pgxl1;60;1440230686;0.00;0.00
pgxl1;60;1440230746;0.00;0.00
pgxl1;60;1440230806;0.00;0.00
pgxl1;60;1440230866;0.00;0.00
pgxl1;60;1440230926;0.00;0.00
pgxl1;60;1440230986;0.00;0.00
pgxl1;60;1440231046;0.00;0.00
pgxl1;60;1440231106;0.00;0.00
pgxl1;60;1440231166;0.00;0.00
pgxl1;60;1440231226;0.00;0.00
pgxl1;60;1440231286;0.00;0.00
pgxl1;60;1440231346;0.00;0.00
pgxl1;60;1440231406;0.00;0.00
pgxl1;60;1440231466;0.00;0.00
pgxl1;60;1440231526;0.00;0.00
pgxl1;60;1440231586;0.00;0.00
pgxl1;60;1440231646;0.00;0.00
pgxl1;60;1440231706;0.00;0.00
pgxl1;60;1440231766;0.00;0.00
pgxl1;60;1440231826;0.00;0.00
pgxl1;60;1440231886;0.00;0.00
pgxl1;60;1440231946;0.00;0.00
pgxl1;60;1440232006;0.00;0.00
pgxl1;60;1440232066;0.00;0.00
pgxl1;60;1440232126;0.00;0.00
pgxl1;60;1440232186;0.00;0.00
pgxl1;60;1440232246;0.00;0.00
pgxl1;60;1440232306;0.00;0.00
pgxl1;60;1440232366;0.00;0.00
pgxl1;60;1440232426;0.00;0.00
pgxl1;60;1440232486;0.00;0.00
pgxl1;60;1440232546;0.00;0.00
pgxl1;60;1440232606;0.00;0.00
pgxl1;60;1440232666;0.00;0.00
pgxl1;60;1440232726;0.00;0.00
pgxl1;60;1440232786;0.00;0.00
pgxl1;60;1440232846;0.00;0.00
pgxl1;60;1440232906;0.00;0.00
pgxl1;60;1440232966;0.00;0.00
pgxl1;60;1440233026;0.00;0.00
pgxl1;60;1440233086;0.00;0.00
pgxl1;60;1440233146;0.00;0.00
pgxl1;60;1440233206;0.00;0.00
pgxl1;60;1440233266;0.00;0.00
pgxl1;60;1440233326;0.00;0.00
pgxl1;60;1440233386;0.00;0.00
pgxl1;60;1440233446;0.00;0.00
pgxl1;60;1440233506;0.00;0.00
pgxl1;60;1440233566;0.00;0.00
pgxl1;60;1440233626;0.00;0.00
pgxl1;60;1440233686;0.00;0.00
pgxl1;60;1440233746;0.00;0.00
pgxl1;60;1440233806;0.00;0.00
pgxl1;60;1440233866;0.00;0.00
pgxl1;60;1440233926;0.00;0.00
pgxl1;60;1440233986;0.00;0.00
pgxl1;60;1440234046;0.00;0.00
pgxl1;60;1440234106;0.00;0.00
pgxl1;60;1440234166;0.00;0.00
pgxl1;60;1440234226;0.00;0.00
pgxl1;60;1440234286;0.00;0.00
pgxl1;60;1440234346;0.00;0.00
pgxl1;60;1440234406;0.00;0.00
pgxl1;60;1440234466;0.00;0.00
pgxl1;60;1440234526;0.00;0.00
pgxl1;60;1440234586;0.00;0.00
pgxl1;60;1440234646;0.00;0.00
pgxl1;60;1440234706;0.00;0.00
pgxl1;60;1440234766;0.00;0.00
pgxl1;60;1440234826;0.00;0.00
pgxl1;60;1440234886;0.00;0.00
pgxl1;60;1440234946;0.00;0.00
pgxl1;60;1440235006;0.00;0.00
pgxl1;60;1440235066;0.00;0.00
pgxl1;60;1440235126;0.00;0.00
pgxl1;60;1440235186;0.00;0.00
pgxl1;60;1440235246;0.00;0.00
pgxl1;60;1440235306;0.00;0.00
pgxl1;60;1440235366;0.00;0.00
pgxl1;60;1440235426;0.00;0.00
pgxl1;60;1440235486;0.00;0.00
pgxl1;60;1440235546;0.00;0.00
pgxl1;60;1440235606;0.00;0.00
pgxl1;60;1440235666;0.00;0.00
pgxl1;60;1440235726;0.00;0.00
pgxl1;60;1440235786;0.00;0.00
pgxl1;60;1440235846;0.00;0.00
