# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
pgxl5;60;1440229426;36696.47;14061.78;123493.28;0.07;19028.22;16593.52;247.13;15892.05;94.37
pgxl5;60;1440229486;34897.40;20727.10;24866.45;0.00;21768.47;11169.32;0.00;11168.70;99.99
pgxl5;60;1440229546;26572.53;12878.52;38076.70;0.00;40535.10;12241.32;0.00;12241.22;100.00
pgxl5;60;1440229606;22809.70;24343.26;22979.99;3.23;23930.18;10337.84;102.38;10440.08;100.00
pgxl5;60;1440229666;62101.42;2105.12;5992.42;0.12;44455.08;2116.34;34.14;2150.48;100.00
pgxl5;60;1440229726;13460.89;78.47;21016.86;0.00;5372.99;1579.07;0.00;1579.07;100.00
pgxl5;60;1440229786;23771.00;49.73;3163.02;0.02;8538.83;5638.97;34.13;5673.10;100.00
pgxl5;60;1440229846;5256.27;4.15;593.73;1.62;1704.32;1404.82;0.00;1404.75;100.00
pgxl5;60;1440229906;3546.93;5.48;4744.08;0.05;7841.13;3808.55;17.07;3825.62;100.00
pgxl5;60;1440229966;17303.60;18107.77;14441.12;0.90;29589.22;2963.23;17.07;2979.72;99.98
pgxl5;60;1440230026;40739.13;34510.67;3048.68;0.02;21227.88;18507.68;0.00;18507.18;100.00
pgxl5;60;1440230086;53043.20;5971.68;3898.88;0.00;14457.08;8704.50;0.00;8704.32;100.00
pgxl5;60;1440230146;29711.73;15675.38;13200.90;0.68;12005.35;4549.08;0.00;4549.08;100.00
pgxl5;60;1440230206;21689.60;12335.62;24862.60;0.38;16777.85;5150.88;51.20;5202.05;100.00
pgxl5;60;1440230266;9414.00;16125.72;30657.03;0.02;11274.95;5659.15;17.07;5675.85;99.99
pgxl5;60;1440230326;5672.33;9554.85;26353.32;0.10;25987.22;6133.75;17.07;6150.63;100.00
pgxl5;60;1440230386;12223.47;5904.58;16376.67;0.30;25300.67;5324.45;17.07;5341.52;100.00
pgxl5;60;1440230446;59013.53;7544.47;8888.88;1.30;31189.72;16935.25;17.07;16946.60;99.97
pgxl5;60;1440230506;15506.47;3468.47;10047.63;0.12;19535.78;1852.82;0.00;1851.23;99.91
pgxl5;60;1440230566;29495.53;11720.22;17159.42;0.00;36503.38;11999.77;17.07;12016.73;100.00
pgxl5;60;1440230626;42028.60;18517.73;23742.92;0.00;19597.80;15415.73;0.00;15412.50;99.98
pgxl5;60;1440230686;35884.47;5041.05;25347.90;1.28;35687.32;7036.22;102.40;7138.27;100.00
pgxl5;60;1440230746;22.13;15.73;1339.95;0.20;4011.33;0.00;0.00;0.00;0.00
pgxl5;60;1440230806;0.00;49.47;2231.75;0.00;3231.88;0.00;0.00;0.00;0.00
pgxl5;60;1440230866;35870.73;91.08;2262.48;0.00;13298.82;0.00;0.00;0.00;0.00
pgxl5;60;1440230926;16187.60;7099.80;1288.03;0.02;7424.43;0.00;0.00;0.00;0.00
pgxl5;60;1440230986;37532.33;15237.48;6691.05;0.00;12708.88;8248.58;0.00;8242.25;99.92
pgxl5;60;1440231046;45796.20;10029.33;57048.78;1.10;17315.23;13564.82;51.20;13613.83;99.98
